Country Code,Country,Date,Core_CPI
AUS,Australia,1991-01-01,3.5
AUT,Austria,1991-01-01,3.4
BEL,Belgium,1991-01-01,4.2
CAN,Canada,1991-01-01,6.2
CHE,Switzerland,1991-01-01,2.4
CYP,Cyprus,1991-01-01,9.6
DEU,Germany,1991-01-01,3.9
DJI,Djibouti,1991-01-01,9.2
DNK,Denmark,1991-01-01,3.0
ESP,Spain,1991-01-01,7.0
FIN,Finland,1991-01-01,4.8
FRA,France,1991-01-01,3.4
GBR,United Kingdom,1991-01-01,5.8
GRC,Greece,1991-01-01,7.7
HUN,Hungary,1991-01-01,35.8
IRL,Ireland,1991-01-01,3.9
ISR,Israel,1991-01-01,20.1
ITA,Italy,1991-01-01,5.8
JPN,Japan,1991-01-01,2.7
KOR,"Korea, Rep.",1991-01-01,8.3
LUX,Luxembourg,1991-01-01,3.4
MEX,Mexico,1991-01-01,23.0
NLD,Netherlands,1991-01-01,2.8
NOR,Norway,1991-01-01,3.5
NZL,New Zealand,1991-01-01,3.0
POL,Poland,1991-01-01,20.6
PRT,Portugal,1991-01-01,14.7
SGP,Singapore,1991-01-01,3.6
SLV,El Salvador,1991-01-01,7.0
SWE,Sweden,1991-01-01,10.7
TCD,Chad,1991-01-01,11.3
THA,Thailand,1991-01-01,4.8
TWN,"Taiwan, China",1991-01-01,4.9
USA,United States,1991-01-01,4.9
VEN,"Venezuela, RB",1991-01-01,22.2
AUS,Australia,1992-01-01,1.0
AUT,Austria,1992-01-01,4.3
BEL,Belgium,1992-01-01,3.6
BRA,Brazil,1992-01-01,962.3
CAN,Canada,1992-01-01,2.1
CHE,Switzerland,1992-01-01,1.1
COL,Colombia,1992-01-01,7.4
DEU,Germany,1992-01-01,5.6
DJI,Djibouti,1992-01-01,4.1
DNK,Denmark,1992-01-01,2.5
ESP,Spain,1992-01-01,6.9
FIN,Finland,1992-01-01,3.6
FRA,France,1992-01-01,3.2
GBR,United Kingdom,1992-01-01,4.1
GRC,Greece,1992-01-01,16.8
HUN,Hungary,1992-01-01,24.9
IRL,Ireland,1992-01-01,3.8
ISR,Israel,1992-01-01,12.1
ITA,Italy,1992-01-01,5.7
JPN,Japan,1992-01-01,2.4
KOR,"Korea, Rep.",1992-01-01,6.2
LUX,Luxembourg,1992-01-01,4.3
MEX,Mexico,1992-01-01,14.9
NLD,Netherlands,1992-01-01,3.7
NOR,Norway,1992-01-01,2.6
NZL,New Zealand,1992-01-01,1.1
PER,Peru,1992-01-01,71.4
POL,Poland,1992-01-01,15.5
PRT,Portugal,1992-01-01,12.4
SGP,Singapore,1992-01-01,1.6
SLV,El Salvador,1992-01-01,4.1
SWE,Sweden,1992-01-01,4.3
TCD,Chad,1992-01-01,2.0
THA,Thailand,1992-01-01,4.4
TTO,Trinidad and Tobago,1992-01-01,4.2
TWN,"Taiwan, China",1992-01-01,3.3
USA,United States,1992-01-01,3.7
VEN,"Venezuela, RB",1992-01-01,14.8
AUS,Australia,1993-01-01,1.7
AUT,Austria,1993-01-01,4.3
BEL,Belgium,1993-01-01,3.5
BRA,Brazil,1993-01-01,1916.4
CAN,Canada,1993-01-01,1.9
CHE,Switzerland,1993-01-01,3.8
