Country Code,Country,Date,Producer_Price_Inflation
MYS,Malaysia,1988-01-01,7.3
NLD,Netherlands,1988-01-01,1.0
NOR,Norway,1988-01-01,4.6
NZL,New Zealand,1988-01-01,5.2
PER,Peru,1988-01-01,657.9
POL,Poland,1988-01-01,59.6
SGP,Singapore,1988-01-01,-1.9
SWE,Sweden,1988-01-01,5.3
THA,Thailand,1988-01-01,8.2
TTO,Trinidad and Tobago,1988-01-01,6.0
TUR,Turkey,1988-01-01,70.5
TWN,"Taiwan, China",1988-01-01,-1.6
URY,Uruguay,1988-01-01,57.4
USA,United States,1988-01-01,4.0
ZAF,South Africa,1988-01-01,13.9
ZMB,Zambia,1988-01-01,4.8
AUS,Australia,1989-01-01,5.1
AUT,Austria,1989-01-01,1.8
BEL,Belgium,1989-01-01,6.6
BGR,Bulgaria,1989-01-01,0.2
CAN,Canada,1989-01-01,2.0
CHE,Switzerland,1989-01-01,3.2
COL,Colombia,1989-01-01,28.2
DEU,Germany,1989-01-01,3.2
DNK,Denmark,1989-01-01,5.7
ESP,Spain,1989-01-01,4.2
FIN,Finland,1989-01-01,5.2
GBR,United Kingdom,1989-01-01,4.8
HUN,Hungary,1989-01-01,15.0
IND,India,1989-01-01,6.3
IRL,Ireland,1989-01-01,4.8
ISR,Israel,1989-01-01,21.0
ITA,Italy,1989-01-01,5.9
JPN,Japan,1989-01-01,1.9
KOR,"Korea, Rep.",1989-01-01,1.5
LUX,Luxembourg,1989-01-01,7.6
MEX,Mexico,1989-01-01,11.5
MYS,Malaysia,1989-01-01,4.0
NLD,Netherlands,1989-01-01,4.7
NOR,Norway,1989-01-01,5.4
NZL,New Zealand,1989-01-01,7.1
PER,Peru,1989-01-01,2494.1
POL,Poland,1989-01-01,218.2
SGP,Singapore,1989-01-01,2.2
SWE,Sweden,1989-01-01,7.7
THA,Thailand,1989-01-01,4.6
TTO,Trinidad and Tobago,1989-01-01,8.9
TUR,Turkey,1989-01-01,64.0
TWN,"Taiwan, China",1989-01-01,-0.4
URY,Uruguay,1989-01-01,73.2
USA,United States,1989-01-01,5.0
ZAF,South Africa,1989-01-01,15.5
ZMB,Zambia,1989-01-01,92.0
AUS,Australia,1990-01-01,6.0
AUT,Austria,1990-01-01,2.9
BEL,Belgium,1990-01-01,-1.0
BGR,Bulgaria,1990-01-01,11.5
CAF,Central African Republic,1990-01-01,1.6
CAN,Canada,1990-01-01,0.3
CHE,Switzerland,1990-01-01,2.3
COL,Colombia,1990-01-01,26.6
CYP,Cyprus,1990-01-01,-11.2
DEU,Germany,1990-01-01,1.7
DNK,Denmark,1990-01-01,1.1
ESP,Spain,1990-01-01,2.1
FIN,Finland,1990-01-01,3.3
GBR,United Kingdom,1990-01-01,6.2
HUN,Hungary,1990-01-01,21.5
IND,India,1990-01-01,9.1
IRL,Ireland,1990-01-01,-1.6
ISR,Israel,1990-01-01,11.6
ITA,Italy,1990-01-01,4.1
JPN,Japan,1990-01-01,1.5
KOR,"Korea, Rep.",1990-01-01,4.2
LUX,Luxembourg,1990-01-01,-2.0
MEX,Mexico,1990-01-01,21.7
MYS,Malaysia,1990-01-01,0.7
NLD,Netherlands,1990-01-01,-2.1
NOR,Norway,1990-01-01,4.0
NZL,New Zealand,1990-01-01,4.7
PER,Peru,1990-01-01,6737.2
POL,Poland,1990-01-01,610.1
